Latitude,Longitude,CrimeCount
41.976200173,-87.905312411,1324
41.754658085,-87.741385006,668
41.862118973,-87.693823763,392
41.736207589,-87.629370032,342
41.883500187,-87.627876698,342
41.750828226,-87.625182794,317
41.765988783,-87.573789768,306
42.019399237,-87.675049485,278
41.88352126,-87.627733247,254
41.754592961,-87.741528537,253
41.829611625,-87.628828268,250
41.811382632,-87.628129354,246
41.814308166,-87.626365813,237
41.804149939,-87.62609605,235
41.868541914,-87.639235361,234
41.903836143,-87.642511973,231
41.788987036,-87.74147999,227
41.830443262,-87.628848503,211
41.789380622,-87.741703718,203
41.866496423,-87.707338303,201
